nu,total_anomalies,anomaly_rate,early_fp,early_fp_rate,train_fp,train_fp_rate,late_fn,late_fn_rate,mid_detection_rate
0.01,1454,90.875,59,36.875,5,6.25,42,5.198019801980198,100.0
0.05,1452,90.75,57,35.625,4,5.0,42,5.198019801980198,100.0
0.1,1471,91.9375,68,42.5,9,11.25,37,4.579207920792079,100.0
0.15,1475,92.1875,70,43.75,10,12.5,35,4.3316831683168315,100.0
0.2,1502,93.875,80,50.0,16,20.0,18,2.2277227722772275,100.0
0.25,1504,94.0,83,51.87500000000001,19,23.75,19,2.3514851485148514,100.0
0.3,1514,94.625,91,56.875,25,31.25,17,2.103960396039604,100.0
